,name,temp,wind_speed,humidity,cloud%,lon,lat
0,Qaanaaq,-24.44,8.41,100,0,-69.36,77.48
1,Khatanga,-16.88,8.86,49,80,102.47,71.98
2,Polyarnyy,15.8,1.92,85,75,33.45,69.2
3,Essex,38.53,10.29,69,90,-76.48,39.31
4,Bathsheba,82.4,18.34,65,20,-59.52,13.22
5,Kungurtug,-24.26,1.36,29,0,97.53,50.6
6,Coahuayana,79.97,3.15,33,24,-100.35,18.62
7,Buin,83.3,9.17,28,0,-70.74,-33.73
8,Norman Wells,-14.81,9.17,75,20,-126.83,65.28
9,Saskylakh,-19.35,16.24,55,68,114.09,71.97
10,Kapaa,73.62,5.82,68,75,-159.32,22.08
11,Hermanus,76.73,8.97,52,0,19.24,-34.42
12,Luwingu,70.88,3.15,70,64,29.92,-10.26
13,Busselton,64.17,9.98,100,76,115.35,-33.64
14,Upernavik,8.28,14.12,100,76,-56.15,72.79
15,Bambous Virieux,82.4,8.05,78,40,57.76,-20.34
16,Atuona,78.8,15.46,100,80,-139.03,-9.8
17,Cape Town,75.2,12.75,64,0,18.42,-33.93
18,Yellowknife,-29.21,9.17,66,5,-114.38,62.45
19,Carutapera,80.6,6.62,91,88,-46.02,-1.2
20,Kodiak,30.06,4.7,88,90,-94.76,39.95
21,Barrow,77.63,17.02,54,48,-60.23,-38.31
22,Lufilufi,86.0,6.93,74,40,-171.6,-13.87
23,Punta Arenas,53.6,31.09,83,75,-70.91,-53.16
24,Itarema,82.58,8.19,90,56,-39.92,-2.92
25,Vila Velha,84.2,10.29,74,20,-38.6,-3.71
26,Rikitea,80.82,10.65,95,88,-134.97,-23.12
27,Port Elizabeth,37.58,9.17,66,90,-74.98,39.31
28,Hay River,-23.81,5.82,67,20,-115.79,60.82
29,Dalby,68.0,8.05,88,40,151.26,-27.18
30,Pacific Grove,60.39,11.41,57,75,-121.92,36.62
31,Carnarvon,77.9,7.4,11,0,22.13,-30.97
32,Thompson,-16.61,9.17,68,20,-97.86,55.74
33,Bredasdorp,71.6,14.99,78,68,20.04,-34.53
34,Port Macquarie,71.6,10.29,88,0,152.91,-31.43
35,Fortuna,48.88,4.7,93,0,-1.13,38.18
36,Ushuaia,48.2,34.45,49,20,-68.31,-54.81
37,Kaitangata,59.22,3.04,82,92,169.85,-46.28
38,Jamestown,69.48,1.7,91,92,138.6,-33.21
39,Havoysund,27.88,16.11,79,0,24.66,71.0
40,Airai,70.7,1.25,92,76,125.41,-8.93
41,Hobart,62.6,6.93,77,0,147.33,-42.88
42,Constitucion,66.2,3.36,25,5,-104.67,23.99
43,Boddam,37.4,14.99,86,92,-1.78,57.47
44,Sistranda,24.8,5.82,85,75,8.83,63.73
45,Port Alfred,71.91,21.5,90,100,26.89,-33.59
46,Mount Isa,78.8,4.7,61,0,139.49,-20.73
47,Dikson,8.42,17.25,95,68,80.55,73.51
48,Nanakuli,73.24,4.7,77,90,-158.15,21.39
49,Beloha,80.33,6.06,77,8,45.06,-25.17
50,Pangkalanbuun,74.57,3.38,92,64,111.62,-2.68
51,Quelimane,82.4,6.93,83,40,36.89,-17.88
52,Muros,47.28,5.82,93,75,-9.06,42.77
53,East London,69.8,18.34,88,90,27.91,-33.02
54,Mwinilunga,67.82,1.92,83,8,24.43,-11.73
55,Vaini,65.34,3.94,70,0,74.49,15.34
56,Katsuura,39.2,8.05,69,20,134.5,33.93
57,New Norfolk,62.6,6.93,77,0,147.06,-42.78
58,Muisne,78.8,10.29,94,75,-80.02,0.61
59,Walvis Bay,68.0,8.05,77,0,14.51,-22.95
60,Avera,55.69,8.05,39,1,-82.53,33.19
61,Kahului,71.4,3.36,65,20,-156.47,20.89
62,Chichester,41.0,6.93,87,40,-0.78,50.84
63,Ambanja,72.54,2.59,99,92,48.45,-13.68
64,Guerrero Negro,65.97,3.6,75,36,-114.04,27.97
65,Mataura,58.05,2.71,93,92,168.86,-46.19
66,Akhalgori,44.6,3.36,52,0,44.48,42.13
67,Ilulissat,17.6,12.75,67,75,-51.1,69.22
68,Corinto,96.39,4.27,39,0,-44.46,-18.36
69,Acapulco,84.2,6.93,62,90,-99.88,16.86
70,Shiyan,18.54,2.04,76,0,110.78,32.65
71,Bastos,93.42,7.63,47,12,-50.73,-21.92
72,Butaritari,84.47,20.27,100,80,172.79,3.07
73,Broome,40.1,8.05,93,40,1.45,52.47
74,Wiset Chai Chan,74.03,3.6,70,8,100.36,14.6
75,Plouzane,44.31,5.82,87,20,-4.62,48.38
76,Skjervoy,22.86,6.93,68,75,20.97,70.03
77,Portland,41.86,16.11,54,75,-122.67,45.52
78,Deputatskiy,-56.25,2.59,0,0,139.9,69.3
79,Codrington,66.87,3.38,93,75,153.24,-28.95
80,Ponta do Sol,92.3,5.17,40,8,-46.0,-20.63
81,San Cristobal,61.56,13.87,63,75,-78.55,-0.39
82,Nkhotakota,74.07,3.6,98,20,34.3,-12.93
83,Agadez,71.6,13.87,10,0,7.99,16.97
84,Albany,34.39,12.75,45,90,-73.75,42.65
85,Yulara,91.4,2.24,26,12,130.99,-25.24
86,Nome,60.84,6.93,60,90,-94.42,30.04
87,Cherskiy,-27.86,4.05,45,88,161.3,68.75
88,Touros,86.0,18.34,70,20,-35.46,-5.2
89,Hithadhoo,82.8,5.39,100,24,73.08,-0.6
90,Tiksi,-43.88,6.96,0,0,128.87,71.64
91,Bluff,71.01,8.19,76,0,149.07,-23.58
92,High Level,-9.41,10.29,76,75,-117.13,58.52
93,Awjilah,48.65,5.95,59,0,21.3,29.14
94,Geraldton,-11.21,10.29,57,5,-86.95,49.72
95,Narsaq,32.0,1.12,90,75,-46.05,60.91
96,Ribeira Grande,60.8,12.75,87,75,-28.7,38.52
97,Maniitsoq,18.9,11.43,100,68,-52.9,65.42
98,Gizo,52.86,11.41,70,75,34.94,31.8
99,Lucapa,72.68,3.71,87,32,20.74,-8.42
100,Pechora,20.52,7.74,85,92,57.16,65.12
101,Caronport,12.2,6.93,92,90,-105.81,50.46
102,Tasiilaq,19.4,26.4,79,90,-37.64,65.61
103,Madang,76.55,2.71,100,68,145.81,-5.21
104,Najran,68.0,3.27,22,0,44.22,17.54
105,Lata,37.71,2.04,88,88,78.62,30.78
